Timestamp,Index,Error_Message
2026-02-11 21:50:56,265,All fields empty - no bushing data extracted
2026-02-11 21:50:56,277,All fields empty - no bushing data extracted
2026-02-11 21:50:56,279,All fields empty - no bushing data extracted
2026-02-11 21:50:56,281,All fields empty - no bushing data extracted
2026-02-11 21:50:56,287,All fields empty - no bushing data extracted
2026-02-11 21:50:56,289,All fields empty - no bushing data extracted
2026-02-11 21:50:56,291,All fields empty - no bushing data extracted
2026-02-11 21:50:56,295,All fields empty - no bushing data extracted
2026-02-11 21:50:56,297,All fields empty - no bushing data extracted
2026-02-11 21:50:56,305,All fields empty - no bushing data extracted
2026-02-11 21:50:56,307,All fields empty - no bushing data extracted
2026-02-11 21:50:56,308,All fields empty - no bushing data extracted
2026-02-11 21:50:56,309,All fields empty - no bushing data extracted
2026-02-11 21:50:56,311,All fields empty - no bushing data extracted
2026-02-11 21:50:56,315,All fields empty - no bushing data extracted
2026-02-11 21:50:56,317,All fields empty - no bushing data extracted
2026-02-11 21:50:56,321,All fields empty - no bushing data extracted
2026-02-11 21:50:56,327,All fields empty - no bushing data extracted
2026-02-11 21:50:56,329,All fields empty - no bushing data extracted
2026-02-11 21:50:56,337,All fields empty - no bushing data extracted
2026-02-11 21:50:56,353,All fields empty - no bushing data extracted
2026-02-11 21:50:56,357,All fields empty - no bushing data extracted
2026-02-11 21:50:56,359,All fields empty - no bushing data extracted
2026-02-11 21:50:56,361,All fields empty - no bushing data extracted
2026-02-11 21:50:56,363,All fields empty - no bushing data extracted
2026-02-11 21:50:56,365,All fields empty - no bushing data extracted
2026-02-11 21:50:56,367,All fields empty - no bushing data extracted
2026-02-11 21:50:56,386,All fields empty - no bushing data extracted
2026-02-11 21:50:56,424,All fields empty - no bushing data extracted
2026-02-11 21:50:56,443,All fields empty - no bushing data extracted
2026-02-11 21:50:56,445,All fields empty - no bushing data extracted
2026-02-11 21:50:56,456,All fields empty - no bushing data extracted
2026-02-11 21:50:56,460,All fields empty - no bushing data extracted
2026-02-11 21:50:56,462,All fields empty - no bushing data extracted
2026-02-11 21:50:56,466,All fields empty - no bushing data extracted
2026-02-11 21:50:56,472,All fields empty - no bushing data extracted
2026-02-11 21:50:56,476,All fields empty - no bushing data extracted
2026-02-11 21:50:56,478,All fields empty - no bushing data extracted
2026-02-11 21:50:56,504,All fields empty - no bushing data extracted
2026-02-11 21:50:56,510,All fields empty - no bushing data extracted
2026-02-11 21:50:56,524,All fields empty - no bushing data extracted
2026-02-11 21:50:56,526,All fields empty - no bushing data extracted
2026-02-11 21:50:56,542,All fields empty - no bushing data extracted
2026-02-11 21:50:56,546,All fields empty - no bushing data extracted
2026-02-11 21:50:56,553,All fields empty - no bushing data extracted
2026-02-11 21:50:56,558,All fields empty - no bushing data extracted
2026-02-11 21:50:56,559,All fields empty - no bushing data extracted
2026-02-11 21:50:56,588,All fields empty - no bushing data extracted
2026-02-11 21:50:56,594,All fields empty - no bushing data extracted
2026-02-11 21:50:56,607,All fields empty - no bushing data extracted
2026-02-11 21:50:56,612,All fields empty - no bushing data extracted
2026-02-11 21:50:56,637,All fields empty - no bushing data extracted
2026-02-11 21:50:56,638,All fields empty - no bushing data extracted
2026-02-11 21:50:56,641,All fields empty - no bushing data extracted
2026-02-11 21:50:56,643,All fields empty - no bushing data extracted
2026-02-11 21:50:56,644,All fields empty - no bushing data extracted
2026-02-11 21:50:56,646,All fields empty - no bushing data extracted
2026-02-11 21:50:56,648,All fields empty - no bushing data extracted
2026-02-11 21:50:56,652,All fields empty - no bushing data extracted
2026-02-11 21:50:56,655,All fields empty - no bushing data extracted
2026-02-11 21:50:56,658,All fields empty - no bushing data extracted
2026-02-11 21:50:56,664,All fields empty - no bushing data extracted
2026-02-11 21:50:56,706,All fields empty - no bushing data extracted
2026-02-11 21:50:56,761,All fields empty - no bushing data extracted
2026-02-11 21:50:56,768,All fields empty - no bushing data extracted
2026-02-11 21:50:56,769,All fields empty - no bushing data extracted
2026-02-11 21:50:56,774,All fields empty - no bushing data extracted
2026-02-11 21:50:56,778,All fields empty - no bushing data extracted
2026-02-11 21:50:56,779,All fields empty - no bushing data extracted
2026-02-11 21:50:56,797,All fields empty - no bushing data extracted
2026-02-11 21:50:56,806,All fields empty - no bushing data extracted
2026-02-11 21:50:56,808,All fields empty - no bushing data extracted
2026-02-11 21:50:56,812,All fields empty - no bushing data extracted
2026-02-11 21:50:56,820,All fields empty - no bushing data extracted
2026-02-11 21:50:56,824,All fields empty - no bushing data extracted
2026-02-11 21:50:56,826,All fields empty - no bushing data extracted
2026-02-11 21:50:56,827,All fields empty - no bushing data extracted
2026-02-11 21:50:56,828,All fields empty - no bushing data extracted
2026-02-11 21:50:56,830,All fields empty - no bushing data extracted
2026-02-11 21:50:56,832,All fields empty - no bushing data extracted
2026-02-11 21:50:56,842,All fields empty - no bushing data extracted
2026-02-11 21:50:56,844,All fields empty - no bushing data extracted
2026-02-11 21:50:56,847,All fields empty - no bushing data extracted
2026-02-11 21:50:56,850,All fields empty - no bushing data extracted
2026-02-11 21:50:56,852,All fields empty - no bushing data extracted
2026-02-11 21:50:56,854,All fields empty - no bushing data extracted
2026-02-11 21:50:56,858,All fields empty - no bushing data extracted
2026-02-11 21:50:56,862,All fields empty - no bushing data extracted
2026-02-11 21:50:56,865,All fields empty - no bushing data extracted
2026-02-11 21:50:56,868,All fields empty - no bushing data extracted
2026-02-11 21:50:56,869,All fields empty - no bushing data extracted
2026-02-11 21:50:56,870,All fields empty - no bushing data extracted
2026-02-11 21:50:56,872,All fields empty - no bushing data extracted
2026-02-11 21:50:56,879,All fields empty - no bushing data extracted
2026-02-11 21:50:56,880,All fields empty - no bushing data extracted
2026-02-11 21:50:56,881,All fields empty - no bushing data extracted
2026-02-11 21:50:56,882,All fields empty - no bushing data extracted
2026-02-11 21:50:56,886,All fields empty - no bushing data extracted
2026-02-11 21:50:56,888,All fields empty - no bushing data extracted
2026-02-11 21:50:56,893,All fields empty - no bushing data extracted
2026-02-11 21:50:56,894,All fields empty - no bushing data extracted
2026-02-11 21:50:56,897,All fields empty - no bushing data extracted
2026-02-11 21:50:56,898,All fields empty - no bushing data extracted
2026-02-11 21:50:56,900,All fields empty - no bushing data extracted
2026-02-11 21:50:56,901,All fields empty - no bushing data extracted
2026-02-11 21:50:56,902,All fields empty - no bushing data extracted
2026-02-11 21:50:56,903,All fields empty - no bushing data extracted
2026-02-11 21:50:56,912,All fields empty - no bushing data extracted
2026-02-11 21:50:56,914,All fields empty - no bushing data extracted
2026-02-11 21:50:56,915,All fields empty - no bushing data extracted
2026-02-11 21:50:56,916,All fields empty - no bushing data extracted
2026-02-11 21:50:56,952,All fields empty - no bushing data extracted
2026-02-11 21:50:56,985,All fields empty - no bushing data extracted
2026-02-11 21:50:56,24,All fields empty - no bushing data extracted
2026-02-11 21:50:56,47,All fields empty - no bushing data extracted
2026-02-11 21:50:56,63,All fields empty - no bushing data extracted
2026-02-11 21:50:56,67,All fields empty - no bushing data extracted
2026-02-11 21:50:56,71,All fields empty - no bushing data extracted
2026-02-11 21:50:56,73,All fields empty - no bushing data extracted
2026-02-11 21:50:56,74,All fields empty - no bushing data extracted
2026-02-11 21:50:56,76,All fields empty - no bushing data extracted
2026-02-11 21:50:56,81,All fields empty - no bushing data extracted
2026-02-11 21:50:56,93,All fields empty - no bushing data extracted
2026-02-11 21:50:56,95,All fields empty - no bushing data extracted
2026-02-11 21:50:56,108,All fields empty - no bushing data extracted
2026-02-11 21:50:56,112,All fields empty - no bushing data extracted
2026-02-11 21:50:56,113,All fields empty - no bushing data extracted
2026-02-11 21:50:56,118,All fields empty - no bushing data extracted
2026-02-11 21:50:56,120,All fields empty - no bushing data extracted
2026-02-11 21:50:56,141,All fields empty - no bushing data extracted
2026-02-11 21:50:56,147,All fields empty - no bushing data extracted
2026-02-11 21:50:56,149,All fields empty - no bushing data extracted
2026-02-11 21:50:56,151,All fields empty - no bushing data extracted
2026-02-11 21:50:56,153,All fields empty - no bushing data extracted
2026-02-11 21:50:56,154,All fields empty - no bushing data extracted
2026-02-11 21:50:56,155,All fields empty - no bushing data extracted
2026-02-11 21:50:56,156,All fields empty - no bushing data extracted
2026-02-11 21:50:56,159,All fields empty - no bushing data extracted
2026-02-11 21:50:56,161,All fields empty - no bushing data extracted
2026-02-11 21:50:56,165,All fields empty - no bushing data extracted
2026-02-11 21:50:56,173,All fields empty - no bushing data extracted
2026-02-11 21:50:56,174,All fields empty - no bushing data extracted
2026-02-11 21:50:56,175,All fields empty - no bushing data extracted
2026-02-11 21:50:56,176,All fields empty - no bushing data extracted
2026-02-11 21:50:56,177,All fields empty - no bushing data extracted
2026-02-11 21:50:56,178,All fields empty - no bushing data extracted
2026-02-11 21:50:56,179,All fields empty - no bushing data extracted
2026-02-11 21:50:56,181,All fields empty - no bushing data extracted
2026-02-11 21:50:56,182,All fields empty - no bushing data extracted
2026-02-11 21:50:56,183,All fields empty - no bushing data extracted
2026-02-11 21:50:56,184,All fields empty - no bushing data extracted
2026-02-11 21:50:56,185,All fields empty - no bushing data extracted
2026-02-11 21:50:56,186,All fields empty - no bushing data extracted
2026-02-11 21:50:56,192,All fields empty - no bushing data extracted
2026-02-11 21:50:56,194,All fields empty - no bushing data extracted
2026-02-11 21:50:56,196,All fields empty - no bushing data extracted
2026-02-11 21:50:56,204,All fields empty - no bushing data extracted
2026-02-11 21:50:56,210,All fields empty - no bushing data extracted
2026-02-11 21:50:56,212,All fields empty - no bushing data extracted
2026-02-11 21:50:56,213,All fields empty - no bushing data extracted
2026-02-11 21:50:56,214,All fields empty - no bushing data extracted
2026-02-11 21:50:56,215,All fields empty - no bushing data extracted
2026-02-11 21:50:56,216,All fields empty - no bushing data extracted
2026-02-11 21:50:56,224,All fields empty - no bushing data extracted
2026-02-11 21:50:56,227,All fields empty - no bushing data extracted
2026-02-11 21:50:56,232,All fields empty - no bushing data extracted
2026-02-11 21:50:56,234,All fields empty - no bushing data extracted
2026-02-11 21:50:56,236,All fields empty - no bushing data extracted
2026-02-11 21:50:56,246,All fields empty - no bushing data extracted
2026-02-11 21:50:56,265,All fields empty - no bushing data extracted
2026-02-11 21:50:56,277,All fields empty - no bushing data extracted
2026-02-11 21:50:56,279,All fields empty - no bushing data extracted
2026-02-11 21:50:56,281,All fields empty - no bushing data extracted
2026-02-11 21:50:56,287,All fields empty - no bushing data extracted
2026-02-11 21:50:56,289,All fields empty - no bushing data extracted
2026-02-11 21:50:56,291,All fields empty - no bushing data extracted
2026-02-11 21:50:56,295,All fields empty - no bushing data extracted
2026-02-11 21:50:56,297,All fields empty - no bushing data extracted
2026-02-11 21:50:56,305,All fields empty - no bushing data extracted
2026-02-11 21:50:56,307,All fields empty - no bushing data extracted
2026-02-11 21:50:56,308,All fields empty - no bushing data extracted
2026-02-11 21:50:56,309,All fields empty - no bushing data extracted
2026-02-11 21:50:56,311,All fields empty - no bushing data extracted
2026-02-11 21:50:56,315,All fields empty - no bushing data extracted
2026-02-11 21:50:56,317,All fields empty - no bushing data extracted
2026-02-11 21:50:56,321,All fields empty - no bushing data extracted
2026-02-11 21:50:56,327,All fields empty - no bushing data extracted
2026-02-11 21:50:56,329,All fields empty - no bushing data extracted
2026-02-11 21:50:56,337,All fields empty - no bushing data extracted
2026-02-11 21:50:56,353,All fields empty - no bushing data extracted
2026-02-11 21:50:56,357,All fields empty - no bushing data extracted
2026-02-11 21:50:56,359,All fields empty - no bushing data extracted
2026-02-11 21:50:56,361,All fields empty - no bushing data extracted
2026-02-11 21:50:56,363,All fields empty - no bushing data extracted
2026-02-11 21:50:56,365,All fields empty - no bushing data extracted
2026-02-11 21:50:56,367,All fields empty - no bushing data extracted
2026-02-11 21:50:56,386,All fields empty - no bushing data extracted
2026-02-11 21:50:56,424,All fields empty - no bushing data extracted
2026-02-11 21:50:56,443,All fields empty - no bushing data extracted
2026-02-11 21:50:56,445,All fields empty - no bushing data extracted
2026-02-11 21:50:56,456,All fields empty - no bushing data extracted
2026-02-11 21:50:56,460,All fields empty - no bushing data extracted
2026-02-11 21:50:56,462,All fields empty - no bushing data extracted
2026-02-11 21:50:56,466,All fields empty - no bushing data extracted
2026-02-11 21:50:56,472,All fields empty - no bushing data extracted
2026-02-11 21:50:56,476,All fields empty - no bushing data extracted
2026-02-11 21:50:56,478,All fields empty - no bushing data extracted
2026-02-11 21:50:56,504,All fields empty - no bushing data extracted
2026-02-11 21:50:56,510,All fields empty - no bushing data extracted
2026-02-11 21:50:56,524,All fields empty - no bushing data extracted
2026-02-11 21:50:56,526,All fields empty - no bushing data extracted
2026-02-11 21:50:56,542,All fields empty - no bushing data extracted
2026-02-11 21:50:56,546,All fields empty - no bushing data extracted
2026-02-11 21:50:56,553,All fields empty - no bushing data extracted
2026-02-11 21:50:56,558,All fields empty - no bushing data extracted
2026-02-11 21:50:56,559,All fields empty - no bushing data extracted
2026-02-11 21:50:56,588,All fields empty - no bushing data extracted
2026-02-11 21:50:56,594,All fields empty - no bushing data extracted
2026-02-11 21:50:56,607,All fields empty - no bushing data extracted
2026-02-11 21:50:56,612,All fields empty - no bushing data extracted
2026-02-11 21:50:56,637,All fields empty - no bushing data extracted
2026-02-11 21:50:56,638,All fields empty - no bushing data extracted
2026-02-11 21:50:56,641,All fields empty - no bushing data extracted
2026-02-11 21:50:56,643,All fields empty - no bushing data extracted
2026-02-11 21:50:56,644,All fields empty - no bushing data extracted
2026-02-11 21:50:56,646,All fields empty - no bushing data extracted
2026-02-11 21:50:56,648,All fields empty - no bushing data extracted
2026-02-11 21:50:56,652,All fields empty - no bushing data extracted
2026-02-11 21:50:56,655,All fields empty - no bushing data extracted
2026-02-11 21:50:56,658,All fields empty - no bushing data extracted
2026-02-11 21:50:56,664,All fields empty - no bushing data extracted
2026-02-11 21:50:56,706,All fields empty - no bushing data extracted
2026-02-11 21:50:56,761,All fields empty - no bushing data extracted
2026-02-11 21:50:56,768,All fields empty - no bushing data extracted
2026-02-11 21:50:56,769,All fields empty - no bushing data extracted
2026-02-11 21:50:56,774,All fields empty - no bushing data extracted
2026-02-11 21:50:56,778,All fields empty - no bushing data extracted
2026-02-11 21:50:56,779,All fields empty - no bushing data extracted
2026-02-11 21:50:56,797,All fields empty - no bushing data extracted
2026-02-11 21:50:56,806,All fields empty - no bushing data extracted
2026-02-11 21:50:56,808,All fields empty - no bushing data extracted
2026-02-11 21:50:56,812,All fields empty - no bushing data extracted
2026-02-11 21:50:56,820,All fields empty - no bushing data extracted
2026-02-11 21:50:56,824,All fields empty - no bushing data extracted
2026-02-11 21:50:56,826,All fields empty - no bushing data extracted
2026-02-11 21:50:56,827,All fields empty - no bushing data extracted
2026-02-11 21:50:56,828,All fields empty - no bushing data extracted
2026-02-11 21:50:56,830,All fields empty - no bushing data extracted
2026-02-11 21:50:56,832,All fields empty - no bushing data extracted
2026-02-11 21:50:56,842,All fields empty - no bushing data extracted
2026-02-11 21:50:56,844,All fields empty - no bushing data extracted
2026-02-11 21:50:56,847,All fields empty - no bushing data extracted
2026-02-11 21:50:56,850,All fields empty - no bushing data extracted
2026-02-11 21:50:56,852,All fields empty - no bushing data extracted
2026-02-11 21:50:56,854,All fields empty - no bushing data extracted
2026-02-11 21:50:56,858,All fields empty - no bushing data extracted
2026-02-11 21:50:56,862,All fields empty - no bushing data extracted
2026-02-11 21:50:56,865,All fields empty - no bushing data extracted
2026-02-11 21:50:56,868,All fields empty - no bushing data extracted
2026-02-11 21:50:56,869,All fields empty - no bushing data extracted
2026-02-11 21:50:56,870,All fields empty - no bushing data extracted
2026-02-11 21:50:56,872,All fields empty - no bushing data extracted
2026-02-11 21:50:56,879,All fields empty - no bushing data extracted
2026-02-11 21:50:56,880,All fields empty - no bushing data extracted
2026-02-11 21:50:56,881,All fields empty - no bushing data extracted
2026-02-11 21:50:56,882,All fields empty - no bushing data extracted
2026-02-11 21:50:56,886,All fields empty - no bushing data extracted
2026-02-11 21:50:56,888,All fields empty - no bushing data extracted
2026-02-11 21:50:56,893,All fields empty - no bushing data extracted
2026-02-11 21:50:56,894,All fields empty - no bushing data extracted
2026-02-11 21:50:56,897,All fields empty - no bushing data extracted
2026-02-11 21:50:56,898,All fields empty - no bushing data extracted
2026-02-11 21:50:56,900,All fields empty - no bushing data extracted
2026-02-11 21:50:56,901,All fields empty - no bushing data extracted
2026-02-11 21:50:56,902,All fields empty - no bushing data extracted
2026-02-11 21:50:56,903,All fields empty - no bushing data extracted
2026-02-11 21:50:56,912,All fields empty - no bushing data extracted
2026-02-11 21:50:56,914,All fields empty - no bushing data extracted
2026-02-11 21:50:56,915,All fields empty - no bushing data extracted
2026-02-11 21:50:56,916,All fields empty - no bushing data extracted
2026-02-11 21:50:56,952,All fields empty - no bushing data extracted
2026-02-11 21:50:56,985,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1005,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1010,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1028,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1042,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1057,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1066,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1071,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1072,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1074,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1075,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1086,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1103,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1114,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1118,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1155,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1160,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1163,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1167,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1168,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1177,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1179,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1180,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1181,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1182,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1190,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1200,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1208,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1209,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1211,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1232,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1233,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1237,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1243,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1245,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1247,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1248,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1249,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1250,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1252,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1253,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1254,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1255,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1257,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1258,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1259,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1263,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1265,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1269,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1270,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1271,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1273,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1274,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1275,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1277,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1279,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1281,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1285,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1287,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1291,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1293,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1299,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1301,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1305,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1307,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1309,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1311,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1319,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1320,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1321,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1323,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1324,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1325,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1326,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1330,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1332,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1340,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1342,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1344,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1346,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1348,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1350,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1352,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1373,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1375,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1395,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1401,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1405,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1414,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1415,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1416,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1417,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1426,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1428,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1430,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1432,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1436,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1442,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1443,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1448,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1450,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1457,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1458,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1463,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1471,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1473,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1503,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1505,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1507,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1511,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1521,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1527,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1530,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1531,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1532,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1541,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1542,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1545,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1546,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1549,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1551,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1553,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1554,All fields empty - no bushing data extracted
2026-02-11 21:50:56,1555,All fields empty - no bushing data extracted
